"period","zone","gender","cancer","count"
"2003-2007","S01001798","All","Colorectal Cancer",0
"2003-2007","S01001791","All","Colorectal Cancer",2
"1997-2001","S01001798","All","Colorectal Cancer",2
"2000-2004","S01001800","All","Colorectal Cancer",3
"2004-2008","S01001798","All","Colorectal Cancer",0
"2005-2009","S01001798","All","Colorectal Cancer",0
"1999-2003","S01001800","All","Colorectal Cancer",3
"1998-2002","S01001800","All","Colorectal Cancer",4
"2001-2005","S01001799","All","Colorectal Cancer",1
"2004-2008","S01001800","All","Colorectal Cancer",4
"2003-2007","S01001800","All","Colorectal Cancer",4
"1998-2002","S01001804","All","Colorectal Cancer",4
"2000-2004","S01001799","All","Colorectal Cancer",1
"1998-2002","S01001791","All","Colorectal Cancer",0
"2005-2009","S01001799","All","Colorectal Cancer",2
"2002-2006","S01001799","All","Colorectal Cancer",1
"2004-2008","S01001799","All","Colorectal Cancer",1
"1999-2003","S01001799","All","Colorectal Cancer",1
"2001-2005","S01001800","All","Colorectal Cancer",5
"1998-2002","S01001790","All","Colorectal Cancer",2
"2000-2004","S01001791","All","Colorectal Cancer",1
"1997-2001","S01001799","All","Colorectal Cancer",1
"1998-2002","S01001799","All","Colorectal Cancer",0
"2003-2007","S01001799","All","Colorectal Cancer",1
"1997-2001","S01001804","All","Colorectal Cancer",5
"1997-2001","S01001791","All","Colorectal Cancer",1
"1999-2003","S01001791","All","Colorectal Cancer",1
"1999-2003","S01001804","All","Colorectal Cancer",5
"2001-2005","S01001791","All","Colorectal Cancer",1
"2005-2009","S01001792","All","Colorectal Cancer",4
"2004-2008","S01001792","All","Colorectal Cancer",3
"2001-2005","S01001803","All","Colorectal Cancer",3
"1997-2001","S01001792","All","Colorectal Cancer",5
"2003-2007","S01001792","All","Colorectal Cancer",2
"1998-2002","S01001792","All","Colorectal Cancer",7
"1999-2003","S01001790","All","Colorectal Cancer",2
"2002-2006","S01001792","All","Colorectal Cancer",3
"1999-2003","S01001803","All","Colorectal Cancer",1
"2005-2009","S01001804","All","Colorectal Cancer",4
"2005-2009","S01001803","All","Colorectal Cancer",1
"2001-2005","S01001792","All","Colorectal Cancer",3
"2000-2004","S01001803","All","Colorectal Cancer",2
"2002-2006","S01001803","All","Colorectal Cancer",3
"1999-2003","S01001792","All","Colorectal Cancer",7
"2000-2004","S01001792","All","Colorectal Cancer",4
"2005-2009","S01001793","All","Colorectal Cancer",3
"2004-2008","S01001804","All","Colorectal Cancer",4
"2001-2005","S01001790","All","Colorectal Cancer",3
"2001-2005","S01001793","All","Colorectal Cancer",2
"2004-2008","S01001803","All","Colorectal Cancer",2
"2005-2009","S01001790","All","Colorectal Cancer",6
"2004-2008","S01001790","All","Colorectal Cancer",4
"1997-2001","S01001793","All","Colorectal Cancer",2
"1998-2002","S01001793","All","Colorectal Cancer",2
"1997-2001","S01001803","All","Colorectal Cancer",0
"1999-2003","S01001793","All","Colorectal Cancer",2
"2003-2007","S01001793","All","Colorectal Cancer",3
"2003-2007","S01001803","All","Colorectal Cancer",2
"1998-2002","S01001803","All","Colorectal Cancer",1
"2004-2008","S01001793","All","Colorectal Cancer",4
"2002-2006","S01001793","All","Colorectal Cancer",3
"2000-2004","S01001793","All","Colorectal Cancer",2
"2000-2004","S01001794","All","Colorectal Cancer",1
"1997-2001","S01001794","All","Colorectal Cancer",2
"2000-2004","S01001804","All","Colorectal Cancer",4
"2003-2007","S01001802","All","Colorectal Cancer",0
"2004-2008","S01001794","All","Colorectal Cancer",2
"2001-2005","S01001794","All","Colorectal Cancer",2
"2005-2009","S01001794","All","Colorectal Cancer",2
"2001-2005","S01001802","All","Colorectal Cancer",1
"1999-2003","S01001802","All","Colorectal Cancer",1
"1998-2002","S01001794","All","Colorectal Cancer",1
"1998-2002","S01001802","All","Colorectal Cancer",1
"1999-2003","S01001794","All","Colorectal Cancer",1
"2003-2007","S01001794","All","Colorectal Cancer",2
"2002-2006","S01001794","All","Colorectal Cancer",2
"1997-2001","S01001802","All","Colorectal Cancer",1
"1997-2001","S01001795","All","Colorectal Cancer",1
"1998-2002","S01001795","All","Colorectal Cancer",1
"2002-2006","S01001802","All","Colorectal Cancer",0
"1999-2003","S01001795","All","Colorectal Cancer",1
"2000-2004","S01001802","All","Colorectal Cancer",1
"2004-2008","S01001802","All","Colorectal Cancer",0
"2000-2004","S01001795","All","Colorectal Cancer",1
"2005-2009","S01001802","All","Colorectal Cancer",0
"2001-2005","S01001795","All","Colorectal Cancer",0
"2000-2004","S01001790","All","Colorectal Cancer",2
"2002-2006","S01001795","All","Colorectal Cancer",1
"1997-2001","S01001790","All","Colorectal Cancer",1
"2003-2007","S01001795","All","Colorectal Cancer",1
"2004-2008","S01001795","All","Colorectal Cancer",2
"2005-2009","S01001795","All","Colorectal Cancer",2
"2000-2004","S01001796","All","Colorectal Cancer",5
"2005-2009","S01001796","All","Colorectal Cancer",2
"1999-2003","S01001801","All","Colorectal Cancer",3
"1999-2003","S01001796","All","Colorectal Cancer",8
"2004-2008","S01001796","All","Colorectal Cancer",2
"2000-2004","S01001801","All","Colorectal Cancer",2
"2002-2006","S01001804","All","Colorectal Cancer",4
"2005-2009","S01001801","All","Colorectal Cancer",2
"1997-2001","S01001796","All","Colorectal Cancer",6
"2001-2005","S01001796","All","Colorectal Cancer",4
"2003-2007","S01001796","All","Colorectal Cancer",3
"1998-2002","S01001796","All","Colorectal Cancer",8
"2003-2007","S01001790","All","Colorectal Cancer",3
"2004-2008","S01001801","All","Colorectal Cancer",2
"1997-2001","S01001801","All","Colorectal Cancer",2
"2002-2006","S01001796","All","Colorectal Cancer",5
"2003-2007","S01001804","All","Colorectal Cancer",5
"2001-2005","S01001801","All","Colorectal Cancer",3
"2005-2009","S01001791","All","Colorectal Cancer",2
"1998-2002","S01001801","All","Colorectal Cancer",3
"2002-2006","S01001791","All","Colorectal Cancer",2
"2003-2007","S01001801","All","Colorectal Cancer",2
"2000-2004","S01001797","All","Colorectal Cancer",3
"2005-2009","S01001797","All","Colorectal Cancer",7
"2001-2005","S01001797","All","Colorectal Cancer",5
"2004-2008","S01001797","All","Colorectal Cancer",6
"2002-2006","S01001797","All","Colorectal Cancer",6
"1999-2003","S01001797","All","Colorectal Cancer",2
"2003-2007","S01001797","All","Colorectal Cancer",6
"2002-2006","S01001801","All","Colorectal Cancer",3
"1998-2002","S01001797","All","Colorectal Cancer",4
"2001-2005","S01001804","All","Colorectal Cancer",2
"1997-2001","S01001797","All","Colorectal Cancer",3
"2000-2004","S01001798","All","Colorectal Cancer",2
"1999-2003","S01001798","All","Colorectal Cancer",3
"2002-2006","S01001800","All","Colorectal Cancer",5
"2001-2005","S01001798","All","Colorectal Cancer",2
"2005-2009","S01001800","All","Colorectal Cancer",3
"2004-2008","S01001791","All","Colorectal Cancer",1
"1997-2001","S01001800","All","Colorectal Cancer",3
"2002-2006","S01001798","All","Colorectal Cancer",2
"2002-2006","S01001790","All","Colorectal Cancer",2
"1998-2002","S01001798","All","Colorectal Cancer",3
"1999-2003","S01001803","All","Malignant Neoplasms",12
"1998-2002","S01001798","All","Lung Cancer",2
"2003-2007","S01001798","All","Lung Cancer",2
"2001-2005","S01001800","All","Lung Cancer",2
"2002-2006","S01001798","All","Lung Cancer",1
"1998-2002","S01001804","All","Lung Cancer",3
"2001-2005","S01001804","All","Lung Cancer",7
"2001-2005","S01001798","All","Lung Cancer",2
"2005-2009","S01001800","All","Lung Cancer",2
"1999-2003","S01001798","All","Lung Cancer",3
"2005-2009","S01001791","All","Lung Cancer",3
"2002-2006","S01001801","All","Lung Cancer",1
"2002-2006","S01001797","All","Lung Cancer",3
"2005-2009","S01001797","All","Lung Cancer",2
"2003-2007","S01001801","All","Lung Cancer",2
"2000-2004","S01001797","All","Lung Cancer",2
"1998-2002","S01001797","All","Lung Cancer",2
"1997-2001","S01001797","All","Lung Cancer",1
"2003-2007","S01001797","All","Lung Cancer",3
"1998-2002","S01001801","All","Lung Cancer",1
"1999-2003","S01001797","All","Lung Cancer",2
"2004-2008","S01001797","All","Lung Cancer",3
"2004-2008","S01001801","All","Lung Cancer",3
"2001-2005","S01001797","All","Lung Cancer",3
"1998-2002","S01001791","All","Lung Cancer",1
"2002-2006","S01001796","All","Lung Cancer",2
"2001-2005","S01001801","All","Lung Cancer",2
"2005-2009","S01001801","All","Lung Cancer",3
"1999-2003","S01001801","All","Lung Cancer",1
"2000-2004","S01001796","All","Lung Cancer",1
"2003-2007","S01001796","All","Lung Cancer",2
"2000-2004","S01001801","All","Lung Cancer",1
"1998-2002","S01001796","All","Lung Cancer",0
"1999-2003","S01001796","All","Lung Cancer",0
"2004-2008","S01001796","All","Lung Cancer",4
"2001-2005","S01001796","All","Lung Cancer",2
"2005-2009","S01001796","All","Lung Cancer",4
"1997-2001","S01001791","All","Lung Cancer",1
"2002-2006","S01001790","All","Lung Cancer",2
"1997-2001","S01001796","All","Lung Cancer",0
"1997-2001","S01001801","All","Lung Cancer",1
"2005-2009","S01001802","All","Lung Cancer",2
"1997-2001","S01001802","All","Lung Cancer",2
"2005-2009","S01001795","All","Lung Cancer",2
"2004-2008","S01001790","All","Lung Cancer",1
"2004-2008","S01001795","All","Lung Cancer",1
"2003-2007","S01001795","All","Lung Cancer",1
"2002-2006","S01001795","All","Lung Cancer",1
"2001-2005","S01001795","All","Lung Cancer",1
"1998-2002","S01001802","All","Lung Cancer",1
"2003-2007","S01001802","All","Lung Cancer",2
"2000-2004","S01001795","All","Lung Cancer",0
"1999-2003","S01001802","All","Lung Cancer",1
